2026-03-26 20:19:56.144 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北', '销售额', '华北今年的销售额']
2026-03-26 20:24:38.773 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北今年的销售额', '销售额', '华北']
2026-03-26 20:26:22.478 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['销售额', '华北', '华北今年的销售额']
2026-03-26 20:30:15.965 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北', '华北今年的销售额', '销售额']
2026-03-26 22:30:12.129 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北今年的销售额', '销售额', '华北']
2026-03-26 22:32:11.164 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北今年的销售额', '销售额', '华北']
2026-03-26 22:33:38.261 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北', '销售额', '华北今年的销售额']
2026-03-26 22:33:51.125 | INFO     | app.agent.nodes.recall_column:recall_column:36 - 搜索到列信息：['fact_order.order_amount', 'dim_region.region_name', 'dim_product.category', 'fact_order.order_quantity', 'fact_order.date_id', 'dim_date.date_id', 'dim_date.day', 'dim_date.month']
2026-03-26 22:34:49.691 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北', '销售额', '华北今年的销售额']
2026-03-26 22:35:08.637 | INFO     | app.agent.nodes.recall_column:recall_column:36 - 搜索到列信息：['dim_region.region_name', 'dim_region.province', 'dim_region.country', 'dim_region.region_id', 'fact_order.region_id', 'dim_date.year', 'dim_date.month', 'dim_date.date_id', 'fact_order.date_id', 'fact_order.order_amount', 'fact_order.order_quantity', 'dim_date.day']
2026-03-26 22:37:46.313 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北', '销售额', '华北今年的销售额']
2026-03-26 22:37:55.427 | INFO     | app.agent.nodes.recall_column:recall_column:28 - 扩充后的关键字：['销售区域', '统计年份', '销售额', '华北', '华北今年的销售额']
2026-03-26 22:37:57.178 | INFO     | app.agent.nodes.recall_column:recall_column:37 - 搜索到列信息：['dim_region.region_name', 'fact_order.order_amount', 'dim_product.category', 'dim_date.year', 'dim_date.month', 'fact_order.order_quantity']
2026-03-29 21:01:29.447 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:28 - 抽取关键词：['华北', '销售额', '华北今年的销售额']
2026-03-29 21:01:40.879 | INFO     | app.agent.nodes.recall_column:recall_column:28 - 扩充后的关键字：['销售额', '统计时间', '华北今年的销售额', '销售区域', '华北']
2026-03-29 21:01:42.969 | INFO     | app.agent.nodes.recall_column:recall_column:37 - 搜索到列信息：['fact_order.order_amount', 'fact_order.order_quantity', 'fact_order.date_id', 'dim_date.date_id', 'dim_region.region_name', 'dim_product.category']
2026-03-29 21:01:43.493 | INFO     | app.agent.nodes.recall_metric:recall_metric:28 - 扩充后的关键字：['销售额', '收入额', '华北今年的销售额', '销售额情况', '销售收入', '华北', '营业销售额']
2026-03-29 21:01:43.809 | INFO     | app.agent.nodes.recall_metric:recall_metric:37 - 搜索到列信息：['GMV', 'AOV']
